current,min,max,avg


















7,7,7,7.0
10,7,10,8.5
9,7,10,8.666666666666666
14,7,14,10.0
19,7,19,11.8
26,7,26,14.166666666666666
29,7,29,16.285714285714285
35,7,35,18.625
42,7,42,21.22222222222222
39,7,42,23.0
43,7,43,24.818181818181817
44,7,44,26.416666666666668
44,7,44,27.76923076923077
39,7,44,28.571428571428573
45,7,45,29.666666666666668
42,7,45,30.4375
44,7,45,31.235294117647058
49,7,49,32.22222222222222
49,7,49,33.10526315789474
44,7,49,33.65
44,7,49,34.142857142857146
40,7,49,34.40909090909091
39,7,49,34.608695652173914
38,7,49,34.75
39,7,49,34.92
41,7,49,35.15384615384615
42,7,49,35.407407407407405
40,7,49,35.57142857142857
39,7,49,35.689655172413794
35,7,49,35.666666666666664
37,7,49,35.70967741935484
37,7,49,35.75
37,7,49,35.78787878787879
38,7,49,35.85294117647059
40,7,49,35.97142857142857
42,7,49,36.138888888888886
42,7,49,36.2972972972973
43,7,49,36.473684210526315
40,7,49,36.56410256410256
40,7,49,36.65
38,7,49,36.68292682926829
45,7,49,36.88095238095238
44,7,49,37.04651162790697
46,7,49,37.25
47,7,49,37.46666666666667
45,7,49,37.630434782608695
40,7,49,37.680851063829785
44,7,49,37.8125
42,7,49,37.89795918367347
54,7,54,38.22
54,7,54,38.529411764705884
60,7,60,38.94230769230769
62,7,62,39.37735849056604
59,7,62,39.74074074074074
44,7,62,39.81818181818182
45,7,62,39.910714285714285
41,7,62,39.92982456140351
46,7,62,40.03448275862069
37,7,62,39.983050847457626
37,7,62,39.93333333333333
42,7,62,39.967213114754095
42,7,62,40.0
43,7,62,40.04761904761905
41,7,62,40.0625
37,7,62,40.01538461538462
46,7,62,40.10606060606061
39,7,62,40.08955223880597
34,7,62,40.0
51,7,62,40.15942028985507
64,7,64,40.5
60,7,64,40.774647887323944
59,7,64,41.02777777777778
53,7,64,41.19178082191781
51,7,64,41.32432432432432
48,7,64,41.413333333333334
53,7,64,41.56578947368421
47,7,64,41.63636363636363
41,7,64,41.62820512820513
40,7,64,41.607594936708864
38,7,64,41.5625
38,7,64,41.51851851851852
35,7,64,41.4390243902439
39,7,64,41.40963855421687
36,7,64,41.345238095238095
32,7,64,41.23529411764706
28,7,64,41.08139534883721
27,7,64,40.91954022988506
26,7,64,40.75
24,7,64,40.561797752808985
16,7,64,40.28888888888889
10,7,64,39.956043956043956
9,7,64,39.619565217391305
9,7,64,39.619565217391305
9,7,64,39.619565217391305
9,7,64,39.619565217391305
9,7,64,39.619565217391305
9,7,64,39.619565217391305
9,7,64,39.619565217391305
9,7,64,39.619565217391305
9,7,64,39.619565217391305
9,7,64,39.619565217391305
9,7,64,39.29032258064516
13,7,64,39.01063829787234
12,7,64,38.72631578947368
13,7,64,38.458333333333336
14,7,64,38.20618556701031
14,7,64,37.95918367346939
17,7,64,37.74747474747475
19,7,64,37.56
20,7,64,37.386138613861384
22,7,64,37.23529411764706
15,7,64,37.019417475728154
17,7,64,36.82692307692308
21,7,64,36.67619047619048
32,7,64,36.632075471698116
40,7,64,36.66355140186916
46,7,64,36.75
35,7,64,36.73394495412844
35,7,64,36.71818181818182
44,7,64,36.78378378378378
47,7,64,36.875
43,7,64,36.92920353982301
57,7,64,37.10526315789474
57,7,64,37.278260869565216
53,7,64,37.41379310344828
38,7,64,37.41880341880342
36,7,64,37.40677966101695
39,7,64,37.42016806722689
41,7,64,37.45
42,7,64,37.48760330578512
38,7,64,37.49180327868852
36,7,64,37.479674796747965
41,7,64,37.50806451612903
49,7,64,37.6
54,7,64,37.73015873015873
55,7,64,37.86614173228347
49,7,64,37.953125
57,7,64,38.10077519379845
48,7,64,38.176923076923075
39,7,64,38.18320610687023
53,7,64,38.29545454545455
52,7,64,38.3984962406015
53,7,64,38.507462686567166
44,7,64,38.54814814814815
41,7,64,38.56617647058823
35,7,64,38.54014598540146
39,7,64,38.54347826086956
39,7,64,38.54676258992806
37,7,64,38.535714285714285
41,7,64,38.5531914893617
39,7,64,38.556338028169016
45,7,64,38.6013986013986
40,7,64,38.611111111111114
37,7,64,38.6
40,7,64,38.60958904109589
40,7,64,38.61904761904762
35,7,64,38.5945945945946
38,7,64,38.59060402684564
39,7,64,38.593333333333334
36,7,64,38.57615894039735
35,7,64,38.55263157894737
36,7,64,38.5359477124183
33,7,64,38.5
38,7,64,38.49677419354839
38,7,64,38.493589743589745
38,7,64,38.49044585987261
38,7,64,38.4873417721519
42,7,64,38.509433962264154
43,7,64,38.5375
42,7,64,38.559006211180126
41,7,64,38.574074074074076
40,7,64,38.58282208588957
45,7,64,38.6219512195122
43,7,64,38.64848484848485
40,7,64,38.6566265060241
47,7,64,38.706586826347305
46,7,64,38.75
41,7,64,38.76331360946745
27,7,64,38.694117647058825
31,7,64,38.64912280701754
